id,address,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
112,"Kennedy Playground /Raymond O'Connor, New York, NY",40.703239,-73.965975,0.74,street_center,"Kent Ave",,"Brooklyn, NY 11249",,"Kent Ave",,,Brooklyn,NY,"Kings County",11249,US,"TIGER/Line® dataset from the US Census Bureau"
113,"Pier 42, New York, NY",40.750422,-73.996328,0.5,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
115,"Frank Principe Park / Maurice Park, New York, NY",40.712895,-74.00846,0.93,street_center,"Park Pl",,"New York, NY 10007",,"Park Pl",,,"New York",NY,"New York County",10007,US,"TIGER/Line® dataset from the US Census Bureau"
118,"Bloomingdale Park, New York, NY",40.712895,-74.00846,0.93,street_center,"Park Pl",,"New York, NY 10007",,"Park Pl",,,"New York",NY,"New York County",10007,US,"TIGER/Line® dataset from the US Census Bureau"
119,"James J Walker Park, New York, NY",40.712239,-73.998783,1,street_center,"James St",,"New York, NY 10038",,"James St",,,"New York",NY,"New York County",10038,US,"TIGER/Line® dataset from the US Census Bureau"
122,"Central Park, New York, NY",40.797925,-73.951698,1,street_center,"Central Park N",,"New York, NY 10026",,"Central Park N",,,"New York",NY,"New York County",10026,US,"TIGER/Line® dataset from the US Census Bureau"
123,"Prospect Park, New York, NY",40.659293,-73.976334,0.94,street_center,"Prospect Park SW",,"Brooklyn, NY 11215",,"Prospect Park SW",,,Brooklyn,NY,"Kings County",11215,US,"TIGER/Line® dataset from the US Census Bureau"
124,"Randall's Island Park, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
126,"Kissena Park, New York, NY",40.712895,-74.00846,0.93,street_center,"Park Pl",,"New York, NY 10007",,"Park Pl",,,"New York",NY,"New York County",10007,US,"TIGER/Line® dataset from the US Census Bureau"
127,"Inwood Hill Park, New York, NY",40.772103,-73.963096,0.83,street_center,"Park Ave",,"New York, NY 10021",,"Park Ave",,,"New York",NY,"New York County",10021,US,"TIGER/Line® dataset from the US Census Bureau"
128,"Queensbridge Park, New York, NY",40.712895,-74.00846,0.93,street_center,"Park Pl",,"New York, NY 10007",,"Park Pl",,,"New York",NY,"New York County",10007,US,"TIGER/Line® dataset from the US Census Bureau"
129,"Hamilton Metz Field, New York, NY",40.82269,-73.946571,0.93,street_center,"Hamilton Ter",,"New York, NY 10031",,"Hamilton Ter",,,"New York",NY,"New York County",10031,US,"TIGER/Line® dataset from the US Census Bureau"
130,"Seth Low Playground, New York, NY",40.565864,-73.884933,0.56,street_center,"Steele Rd",,"Breezy Point, NY 11697",,"Steele Rd",,,"Breezy Point",NY,"Queens County",11697,US,"TIGER/Line® dataset from the US Census Bureau"
131,"Queensbridge Park, New York, NY",40.712895,-74.00846,0.93,street_center,"Park Pl",,"New York, NY 10007",,"Park Pl",,,"New York",NY,"New York County",10007,US,"TIGER/Line® dataset from the US Census Bureau"
132,"Playground Ninety, New York, NY",40.750422,-73.996328,1,place,,,"New York, NY 10001",,,,,"New York",NY,"New York County",10001,US,"TIGER/Line® dataset from the US Census Bureau"
133,"Flushing Meadows Corona Park, New York, NY",40.712749,-73.917992,0.79,street_center,"Flushing Ave",,"Ridgewood, NY 11385",,"Flushing Ave",,,Ridgewood,NY,"Queens County",11385,US,"TIGER/Line® dataset from the US Census Bureau"
134,"Bloomingdale Park, New York, NY",40.712895,-74.00846,0.93,street_center,"Park Pl",,"New York, NY 10007",,"Park Pl",,,"New York",NY,"New York County",10007,US,"TIGER/Line® dataset from the US Census Bureau"
135,"33rd Street Plaza, New York, NY",40.752123,-73.995369,1,street_center,"W 33rd St",,"New York, NY 10199",,"W 33rd St",,,"New York",NY,"New York County",10199,US,"TIGER/Line® dataset from the US Census Bureau"
